rank,timecode,name,note,source_start,source_end,peak,score
1,00:03:06,AI #11 audio+chat,"Source 00:02:15-00:03:24; peak 00:03:06; score 81.9; audio: sudden noise candidate, sudden jump +28.4 dB | chat: chat spike +3 messages, 2 active chatter(s)",00:02:15,00:03:24,00:03:06,81.88
2,00:03:38,ASSET #10 84 years.mp4,"Asset suggestion: 84 years.mp4; long wait or dead air gag; long wait or dead air gag; style boost +18; transcript: ""Was gonna stream today because I saw that a game that I've been waiting for my wish list was out""",00:03:38,00:03:42,00:03:38,106.00
3,00:04:32,AI #40 transcript,Source 00:04:20-00:04:53; peak 00:04:32; score 32.0; transcript: laugh/funny phrase (Pending I've also got some other things come in just I can't wait for it to come); Suggested assets: long wait or dead air gag: 84 years.mp4 (long wait or dead air gag; style boost +18),00:04:20,00:04:53,00:04:32,32.00
4,00:05:04,ASSET #11 84 years.mp4,"Asset suggestion: 84 years.mp4; long wait or dead air gag; long wait or dead air gag; style boost +18; transcript: ""Clicked off black stripes. I'm assuming it's this bit here. This bit is purposefully there right now. I think wait""",00:05:04,00:05:10,00:05:04,106.00
5,00:05:40,AI #04 audio+chat+transcript,"Source 00:04:45-00:06:15; peak 00:05:40; score 111.8; audio: sudden noise candidate, sudden jump +25.0 dB | chat: chat spike +3 messages, 3 active chatter(s) | transcript: fear/surprise phrase, short punchy reaction (What was that?); Suggested assets: long wait or dead air gag: 84 years.mp4 (long wait or dead air gag; style boost +18) | direct transcript ass",00:04:45,00:06:15,00:05:40,111.84
6,00:05:57,ASSET #40 A child.mp4,"Asset suggestion: A child.mp4; direct transcript asset match; exact filename phrase ""a child""; transcript: ""This may have said I was playing from the perspective of a child. I think where am I? All right, let's go""",00:05:57,00:06:10,00:05:57,100.00
7,00:10:57,AI #33 transcript,Source 00:10:45-00:11:17; peak 00:10:57; score 36.0; transcript: fear/surprise phrase (This looks like there's a girl behind him scared); Suggested assets: repeat mistake or recurring bit: Not again.mp4 (repeat mistake or recurring bit; style boost +18),00:10:45,00:11:17,00:10:57,36.00
8,00:11:05,ASSET #25 Not again.mp4,"Asset suggestion: Not again.mp4; repeat mistake or recurring bit; repeat mistake or recurring bit; style boost +18; transcript: ""Again, I forgot to do the timer. Look how tiny I am""",00:11:05,00:11:08,00:11:05,104.00
9,00:11:43,"BIT #09 Possible running bit: ""didn't have""","Running bit: Possible running bit: ""didn't have""; occurrence 1/5; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""I didn't have to do anything great""",00:11:35,00:11:55,00:11:43,101.00
10,00:13:10,AI #21 audio,"Source 00:12:58-00:13:28; peak 00:13:10; score 57.1; audio: sudden noise candidate, sudden jump +22.2 dB, above local baseline +7.0 dB",00:12:58,00:13:28,00:13:10,57.15
11,00:13:40,AI #24 audio,"Source 00:13:28-00:13:59; peak 00:13:40; score 52.0; audio: sudden noise candidate, sudden jump +18.8 dB, above local baseline +6.5 dB, near-clipping peak; Suggested assets: direct transcript asset match: Sick.mp4 (exact filename phrase ""sick"")",00:13:28,00:13:59,00:13:40,52.01
12,00:14:22,AI #20 audio,"Source 00:14:10-00:14:41; peak 00:14:22; score 60.7; audio: sudden noise candidate, sudden jump +29.7 dB, near-clipping peak",00:14:10,00:14:41,00:14:22,60.72
13,00:14:58,AI #14 audio,"Source 00:14:46-00:15:17; peak 00:14:58; score 70.8; audio: sudden noise candidate, sudden jump +22.2 dB, above local baseline +11.9 dB",00:14:46,00:15:17,00:14:58,70.76
14,00:15:21,"BIT #16 Possible running bit: ""we're back""","Running bit: Possible running bit: ""we're back""; occurrence 1/4; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""And we're back here""",00:15:13,00:15:33,00:15:21,93.42
15,00:15:39,AI #06 audio+transcript,"Source 00:15:27-00:16:46; peak 00:15:39; score 105.3; audio: sudden noise candidate, sudden jump +15.6 dB, above local baseline +13.6 dB, near-clipping peak | transcript: fear/surprise phrase, vocal reaction word (Saving oh my goodness, I'm scared); Suggested assets: repeat mistake or recurring bit: Not again.mp4 (repeat mistake or recurring bit; style boost",00:15:27,00:16:46,00:15:39,105.33
