rank,timecode,name,note,source_start,source_end,peak,score
1,00:04:55,"BIT #01 Possible running bit: ""can't remember""","Running bit: Possible running bit: ""can't remember""; occurrence 1/12; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""This was one of them. Can't remember what drew me to it. I'll be honest, I was putting""",00:04:47,00:05:10,00:04:55,112.00
2,00:05:26,ASSET #18 84 years.mp4,"Asset suggestion: 84 years.mp4; long wait or dead air gag; long wait or dead air gag; style boost +18; transcript: ""Everything looks terrible. But and wait, you ready? I'm going to put my heart and soul into""",00:05:26,00:05:41,00:05:26,106.00
3,00:10:36,"BIT #43 Possible running bit: ""don't even""","Running bit: Possible running bit: ""don't even""; occurrence 1/5; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""To be very honest. All my accounts are just cackle. I don't even have a personal TikTok""",00:10:28,00:10:51,00:10:36,101.00
4,00:15:17,"BIT #02 Possible running bit: ""can't remember""","Running bit: Possible running bit: ""can't remember""; occurrence 2/12; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""There you go. Brush your teeth is conspiracy. Honestly, I can't remember if I mentioned""",00:15:09,00:15:34,00:15:17,112.00
5,00:15:43,ASSET #19 84 years.mp4,"Asset suggestion: 84 years.mp4; long wait or dead air gag; long wait or dead air gag; style boost +18; transcript: ""to wait until after breakfast, right? Or something, but it's just not possible for me. Yes, this""",00:15:43,00:15:48,00:15:43,106.00
6,00:16:16,ASSET #03 Face palm.mp4,"Asset suggestion: Face palm.mp4; self-own or bad decision, possible facepalm/stupidity insert; self-own or bad decision, possible facepalm/stupidity insert; style boost +30; transcript: ""was out this year, I'll look like an idiot, but I'm sure this was the one. Well, that was""",00:16:16,00:16:23,00:16:16,126.00
7,00:16:58,AI #29 audio,"Source 00:16:46-00:17:16; peak 00:16:58; score 111.4; audio: impact or jumpscare candidate, sudden jump +29.6 dB, above local baseline +24.0 dB",00:16:46,00:17:16,00:16:58,111.38
8,00:18:30,"BIT #34 Possible running bit: ""don't have""","Running bit: Possible running bit: ""don't have""; occurrence 1/6; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""kept saying. Oh my god, I don't have anything. Just break the window. 8, 8, 2, 1, 7, enter.""",00:18:22,00:19:17,00:18:30,104.00
9,00:18:40,AI #13 audio+transcript,"Source 00:18:18-00:19:25; peak 00:18:40; score 164.9; audio: impact or jumpscare candidate, sudden jump +31.7 dB, above local baseline +27.9 dB | transcript: fear/surprise phrase, vocal reaction word (kept saying. Oh my god, I don't have anything. Just break the window. 8, 8, 2, 1, 7, enter.); Suggested assets: streamer references own stupidity: Face palm.mp",00:18:18,00:19:25,00:18:40,164.94
10,00:19:15,ASSET #10 Face palm.mp4,"Asset suggestion: Face palm.mp4; streamer references own stupidity; streamer references own stupidity; style boost +30; transcript: ""No. Okay. I know. I was hoping I'd look like a genius. Mind. Well, that was good. Never mind.""",00:19:15,00:19:33,00:19:15,116.00
